Entry	Cross-reference (Gramene)
A0A1D6HXU9	Zm00001d019497_T024;Zm00001d019497_T033;Zm00001d019497_T034;
A0A1D6HXV3	Zm00001d019497_T025;
A0A1D6HXV7	Zm00001d019497_T029;
A0A1D6HXV8	Zm00001d019497_T030;
A0A1D6HXW0	Zm00001d019497_T018;Zm00001d019497_T032;
A0A1D6HXW6	Zm00001d019497_T022;Zm00001d019497_T035;Zm00001d019497_T037;Zm00001d019497_T038;Zm00001d019497_T040;
A0A1D6HXW7	Zm00001d019497_T039;
A0A1D6HXW9	Zm00001d019497_T041;
A0A1D6HXX0	Zm00001d019497_T042;Zm00001d019497_T043;
A0A1D6HXX2	Zm00001d019498_T001;
A0A1D6HXX3	Zm00001d019501_T004;
A0A1D6HXX4	Zm00001d019501_T002;
A0A1D6HXX5	Zm00001d019501_T003;
A0A1D6HXX7	Zm00001d019501_T005;
A0A1D6HXX8	Zm00001d019501_T006;
A0A1D6HXY0	Zm00001d019501_T008;
A0A1D6HXY1	Zm00001d019502_T001;Zm00001d019502_T002;
A0A1D6HXY3	Zm00001d019503_T001;
A0A1D6HXY5	Zm00001d019504_T002;
A0A1D6HXY6	Zm00001d019504_T003;
A0A1D6HXY7	Zm00001d019504_T004;
A0A1D6HXY8	Zm00001d019505_T001;
A0A1D6HXZ0	Zm00001d019507_T002;
A0A1D6HXZ1	Zm00001d019507_T003;
A0A1D6HXZ4	Zm00001d019507_T006;
A0A1D6HXZ6	Zm00001d019507_T008;
A0A1D6HXZ8	Zm00001d019507_T010;
A0A1D6HY05	Zm00001d019507_T017;
A0A1D6HY06	Zm00001d019507_T014;Zm00001d019507_T018;Zm00001d019507_T037;
A0A1D6HY07	Zm00001d019507_T020;
A0A1D6HY10	Zm00001d019507_T022;
A0A1D6HY15	Zm00001d019507_T027;
A0A1D6HY17	Zm00001d019507_T011;Zm00001d019507_T026;Zm00001d019507_T028;Zm00001d019507_T029;Zm00001d019507_T040;Zm00001d019507_T042;Zm00001d019507_T062;
A0A1D6HY18	Zm00001d019507_T023;Zm00001d019507_T032;Zm00001d019507_T046;
A0A1D6HY22	Zm00001d019507_T034;
A0A1D6HY24	Zm00001d019507_T036;
A0A1D6HY31	Zm00001d019507_T043;
A0A1D6HY32	Zm00001d019507_T044;
A0A1D6HY33	Zm00001d019507_T045;
A0A1D6HY43	Zm00001d019507_T055;
A0A1D6HY53	Zm00001d019507_T065;
A0A1D6HY55	Zm00001d019507_T066;Zm00001d019507_T067;
A0A1D6HY56	Zm00001d019507_T068;
A0A1D6HY57	Zm00001d019507_T069;
A0A1D6HY58	Zm00001d019510_T001;
A0A1D6HY59	Zm00001d019511_T001;
A0A1D6HY61	Zm00001d019514_T001;
A0A1D6HY63	Zm00001d019515_T002;
A0A1D6HY65	Zm00001d019515_T004;
A0A1D6HY66	Zm00001d019515_T005;
A0A1D6HY69	Zm00001d019515_T008;
A0A1D6HY70	Zm00001d019515_T006;Zm00001d019515_T007;Zm00001d019515_T009;
A0A1D6HY73	Zm00001d019515_T012;
A0A1D6HY74	Zm00001d019515_T013;
A0A1D6HY75	Zm00001d019518_T001;
A0A1D6HY76	Zm00001d019519_T001;
A0A1D6HY77	Zm00001d019520_T001;
A0A1D6HY78	Zm00001d019521_T001;
A0A1D6HY82	Zm00001d019523_T001;
A0A1D6HY83	Zm00001d019525_T001;
A0A1D6HY84	Zm00001d019526_T001;
A0A1D6HY85	Zm00001d019527_T001;
A0A1D6HY86	Zm00001d019527_T002;
A0A1D6HY87	Zm00001d019527_T003;
A0A1D6HY88	Zm00001d019527_T004;
A0A1D6HY89	Zm00001d019527_T005;
A0A1D6HY90	Zm00001d019528_T001;
A0A1D6HY91	Zm00001d019529_T001;
A0A1D6HY92	Zm00001d019531_T001;
A0A1D6HY94	Zm00001d019531_T003;
A0A1D6HY95	Zm00001d019534_T001;
A0A1D6HY96	Zm00001d019534_T002;
A0A1D6HY98	Zm00001d019536_T001;Zm00001d019536_T002;
A0A1D6HYA1	Zm00001d019537_T001;
A0A1D6HYA2	Zm00001d019538_T001;
A0A1D6HYA3	Zm00001d019538_T002;
A0A1D6HYA4	Zm00001d019541_T001;
A0A1D6HYA6	Zm00001d019542_T002;
A0A1D6HYB4	Zm00001d019542_T001;Zm00001d019542_T005;Zm00001d019542_T007;Zm00001d019542_T010;Zm00001d019542_T012;Zm00001d019542_T016;
A0A1D6HYC3	Zm00001d019542_T019;
A0A1D6HYC4	Zm00001d019542_T020;
A0A1D6HYC5	Zm00001d019542_T008;Zm00001d019542_T013;Zm00001d019542_T021;
A0A1D6HYC6	Zm00001d019542_T003;
A0A1D6HYC8	Zm00001d019543_T001;
A0A1D6HYC9	Zm00001d019545_T001;
A0A1D6HYD1	Zm00001d019546_T001;Zm00001d019546_T002;
A0A1D6HYD2	Zm00001d019546_T003;
A0A1D6HYD3	Zm00001d019546_T004;
A0A1D6HYD4	Zm00001d019546_T005;
A0A1D6HYD5	Zm00001d019547_T001;
A0A1D6HYD7	Zm00001d019547_T003;
A0A1D6HYD9	Zm00001d019547_T004;Zm00001d019547_T005;
A0A1D6HYE1	Zm00001d019547_T006;Zm00001d019547_T007;
A0A1D6HYE2	Zm00001d019547_T008;
A0A1D6HYE3	Zm00001d019548_T001;
A0A1D6HYE4	Zm00001d019549_T001;
A0A1D6HYE5	Zm00001d019549_T002;
A0A1D6HYE6	Zm00001d019550_T001;
A0A1D6HYE7	Zm00001d019550_T002;
A0A1D6HYE9	Zm00001d019550_T004;
A0A1D6HYF0	Zm00001d019551_T001;
A0A1D6HYF1	Zm00001d019552_T001;
A0A1D6HYF2	Zm00001d019552_T002;
A0A1D6HYF3	Zm00001d019552_T003;
A0A1D6HYF4	Zm00001d019552_T004;Zm00001d019552_T005;
A0A1D6HYF6	Zm00001d019552_T006;
A0A1D6HYF7	Zm00001d019552_T007;
A0A1D6HYF8	Zm00001d019552_T008;
A0A1D6HYF9	Zm00001d019553_T001;
A0A1D6HYG0	Zm00001d019554_T001;
A0A1D6HYG1	Zm00001d019555_T001;
A0A1D6HYG3	Zm00001d019557_T001;
A0A1D6HYG5	Zm00001d019561_T050;Zm00001d019561_T077;Zm00001d019561_T084;
A0A1D6HYG6	Zm00001d019561_T002;
A0A1D6HYG7	Zm00001d019561_T007;Zm00001d019561_T010;Zm00001d019561_T034;Zm00001d019561_T035;Zm00001d019561_T039;Zm00001d019561_T056;Zm00001d019561_T059;
A0A1D6HYG9	Zm00001d019561_T004;Zm00001d019561_T005;
A0A1D6HYH6	Zm00001d019561_T012;
A0A1D6HYH9	Zm00001d019561_T015;Zm00001d019561_T036;
A0A1D6HYI2	Zm00001d019561_T018;Zm00001d019561_T042;Zm00001d019561_T063;Zm00001d019561_T066;
A0A1D6HYI6	Zm00001d019561_T022;
A0A1D6HYI7	Zm00001d019561_T023;
A0A1D6HYI8	Zm00001d019561_T024;
A0A1D6HYJ0	Zm00001d019561_T026;
A0A1D6HYJ1	Zm00001d019561_T027;Zm00001d019561_T071;
A0A1D6HYJ6	Zm00001d019561_T009;Zm00001d019561_T032;
A0A1D6HYK1	Zm00001d019561_T037;
A0A1D6HYK2	Zm00001d019561_T038;
A0A1D6HYK4	Zm00001d019561_T040;Zm00001d019561_T052;
A0A1D6HYK8	Zm00001d019561_T044;
A0A1D6HYL2	Zm00001d019561_T048;
A0A1D6HYL3	Zm00001d019561_T049;
A0A1D6HYM2	Zm00001d019561_T058;
A0A1D6HYM4	Zm00001d019561_T060;
A0A1D6HYM8	Zm00001d019561_T014;Zm00001d019561_T020;Zm00001d019561_T045;Zm00001d019561_T046;Zm00001d019561_T047;Zm00001d019561_T054;Zm00001d019561_T064;Zm00001d019561_T068;
A0A1D6HYM9	Zm00001d019561_T065;
A0A1D6HYN1	Zm00001d019561_T067;
A0A1D6HYN4	Zm00001d019561_T031;Zm00001d019561_T070;
A0A1D6HYN7	Zm00001d019561_T073;
A0A1D6HYQ0	Zm00001d019561_T086;
A0A1D6HYQ2	Zm00001d019562_T002;
A0A1D6HYQ3	Zm00001d019562_T003;
A0A1D6HYQ4	Zm00001d019563_T001;
A0A1D6HYQ5	Zm00001d019563_T002;
A0A1D6HYQ6	Zm00001d019563_T003;
A0A1D6HYQ7	Zm00001d019563_T004;
A0A1D6HYQ8	Zm00001d019563_T005;
A0A1D6HYQ9	Zm00001d019563_T008;
A0A1D6HYR0	Zm00001d019563_T009;
A0A1D6HYR1	Zm00001d019563_T010;
A0A1D6HYR2	Zm00001d019563_T011;
A0A1D6HYR3	Zm00001d019563_T012;
A0A1D6HYR4	Zm00001d019563_T013;
A0A1D6HYR5	Zm00001d019563_T014;
A0A1D6HYR6	Zm00001d019563_T015;
A0A1D6HYR7	Zm00001d019563_T016;
A0A1D6HYR8	Zm00001d019563_T017;
A0A1D6HYR9	Zm00001d019563_T018;
A0A1D6HYS0	Zm00001d019564_T001;
A0A1D6HYS1	Zm00001d019565_T002;
A0A1D6HYS2	Zm00001d019565_T003;
A0A1D6HYS3	Zm00001d019567_T001;
A0A1D6HYS5	Zm00001d019568_T001;
A0A1D6HYS6	Zm00001d019568_T003;Zm00001d019568_T004;
A0A1D6HYS9	Zm00001d019570_T001;
A0A1D6HYT1	Zm00001d019576_T002;
A0A1D6HYT2	Zm00001d019577_T001;
A0A1D6HYT3	Zm00001d019577_T002;Zm00001d019577_T003;
A0A1D6HYT5	Zm00001d019578_T001;
A0A1D6HYT8	Zm00001d019578_T004;
A0A1D6HYT9	Zm00001d019578_T005;
A0A1D6HYU2	Zm00001d019578_T008;
A0A1D6HYV0	Zm00001d019578_T015;Zm00001d019578_T016;
A0A1D6HYV1	Zm00001d019578_T002;Zm00001d019578_T012;Zm00001d019578_T024;Zm00001d019578_T032;Zm00001d019578_T033;
A0A1D6HYV7	Zm00001d019578_T023;
A0A1D6HYW1	Zm00001d019578_T027;
A0A1D6HYW5	Zm00001d019578_T031;
A0A1D6HYX0	Zm00001d019579_T001;
A0A1D6HYX3	Zm00001d019579_T004;
A0A1D6HYX4	Zm00001d019579_T002;Zm00001d019579_T003;Zm00001d019579_T005;Zm00001d019579_T006;Zm00001d019579_T007;
A0A1D6HYX7	Zm00001d019579_T008;
A0A1D6HYX8	Zm00001d019579_T009;
A0A1D6HYX9	Zm00001d019579_T010;
A0A1D6HYY0	Zm00001d019582_T001;
A0A1D6HYY1	Zm00001d019584_T001;
A0A1D6HYY2	Zm00001d019585_T001;
A0A1D6HYY5	Zm00001d019586_T001;Zm00001d019586_T002;Zm00001d019586_T003;Zm00001d019586_T011;Zm00001d019586_T012;Zm00001d019586_T018;Zm00001d019586_T023;Zm00001d019586_T030;
A0A1D6HYY6	Zm00001d019586_T004;Zm00001d019586_T027;
A0A1D6HYZ2	Zm00001d019586_T009;Zm00001d019586_T021;
A0A1D6HYZ6	Zm00001d019586_T014;Zm00001d019586_T020;
A0A1D6HYZ7	Zm00001d019586_T005;Zm00001d019586_T008;Zm00001d019586_T015;Zm00001d019586_T016;
A0A1D6HZ07	Zm00001d019586_T025;
A0A1D6HZ08	Zm00001d019586_T026;Zm00001d019586_T031;
A0A1D6HZ10	Zm00001d019586_T028;
A0A1D6HZ14	Zm00001d019587_T001;
A0A1D6HZ16	Zm00001d019587_T003;Zm00001d019587_T008;
A0A1D6HZ17	Zm00001d019587_T004;Zm00001d019587_T011;
A0A1D6HZ18	Zm00001d019587_T005;Zm00001d019587_T009;Zm00001d019587_T010;
A0A1D6HZ19	Zm00001d019587_T006;
A0A1D6HZ25	Zm00001d019588_T001;
A0A1D6HZ26	Zm00001d019589_T001;
A0A1D6HZ27	Zm00001d019590_T001;
A0A1D6HZ28	Zm00001d019591_T001;
A0A1D6HZ29	Zm00001d019591_T002;Zm00001d019591_T005;
A0A1D6HZ30	Zm00001d019591_T003;
A0A1D6HZ31	Zm00001d019591_T004;
A0A1D6HZ34	Zm00001d019591_T007;
A0A1D6HZ35	Zm00001d019591_T008;
A0A1D6HZ37	Zm00001d019591_T010;
A0A1D6HZ41	Zm00001d019591_T014;
A0A1D6HZ42	Zm00001d019591_T015;
A0A1D6HZ46	Zm00001d019591_T019;
A0A1D6HZ47	Zm00001d019591_T020;
A0A1D6HZ48	Zm00001d019591_T021;
A0A1D6HZ50	Zm00001d019591_T023;
A0A1D6HZ51	Zm00001d019591_T024;
A0A1D6HZ52	Zm00001d019591_T025;
A0A1D6HZ54	Zm00001d019591_T027;
A0A1D6HZ55	Zm00001d019591_T028;
A0A1D6HZ56	Zm00001d019591_T029;
A0A1D6HZ57	Zm00001d019591_T030;
A0A1D6HZ59	Zm00001d019591_T032;
A0A1D6HZ60	Zm00001d019591_T012;Zm00001d019591_T022;Zm00001d019591_T033;
A0A1D6HZ61	Zm00001d019591_T009;Zm00001d019591_T017;Zm00001d019591_T018;Zm00001d019591_T034;
A0A1D6HZ62	Zm00001d019591_T011;Zm00001d019591_T013;Zm00001d019591_T016;Zm00001d019591_T026;Zm00001d019591_T035;
A0A1D6HZ63	Zm00001d019591_T036;
A0A1D6HZ68	Zm00001d019591_T031;Zm00001d019591_T038;
A0A1D6HZ69	Zm00001d019591_T042;
A0A1D6HZ70	Zm00001d019591_T043;
A0A1D6HZ71	Zm00001d019592_T001;Zm00001d019592_T002;
A0A1D6HZ73	Zm00001d019593_T001;
A0A1D6HZ75	Zm00001d019595_T002;
A0A1D6HZ76	Zm00001d019596_T001;
A0A1D6HZ78	Zm00001d019598_T001;
A0A1D6HZ79	Zm00001d019598_T002;
A0A1D6HZ80	Zm00001d019598_T003;
A0A1D6HZ81	Zm00001d019599_T001;
A0A1D6HZ82	Zm00001d019599_T002;
A0A1D6HZ89	Zm00001d019600_T003;
A0A1D6HZ90	Zm00001d019600_T004;
A0A1D6HZ91	Zm00001d019600_T005;
A0A1D6HZ93	Zm00001d019600_T007;
A0A1D6HZ94	Zm00001d019605_T001;
A0A1D6HZ95	Zm00001d019611_T001;
A0A1D6HZ96	Zm00001d019612_T001;
A0A1D6HZ97	Zm00001d019613_T001;
A0A1D6HZ98	Zm00001d019614_T001;
A0A1D6HZA0	Zm00001d019615_T002;
A0A1D6HZA1	Zm00001d019615_T003;
A0A1D6HZA2	Zm00001d019615_T004;
A0A1D6HZA3	Zm00001d019615_T001;Zm00001d019615_T005;
A0A1D6HZA4	Zm00001d019616_T001;
A0A1D6HZA5	Zm00001d019617_T001;
A0A1D6HZA6	Zm00001d019619_T001;
A0A1D6HZA7	Zm00001d019619_T002;
A0A1D6HZA8	Zm00001d019620_T001;
A0A1D6HZA9	Zm00001d019621_T001;
A0A1D6HZB0	Zm00001d019622_T001;
A0A1D6HZB1	Zm00001d019623_T001;
A0A1D6HZB2	Zm00001d019624_T001;
A0A1D6HZB3	Zm00001d019624_T002;
A0A1D6HZB4	Zm00001d019624_T003;
A0A1D6HZB5	Zm00001d019627_T001;
A0A1D6HZB6	Zm00001d019627_T002;
A0A1D6HZB8	Zm00001d019629_T001;
A0A1D6HZC1	Zm00001d019631_T003;
A0A1D6HZC3	Zm00001d019631_T001;Zm00001d019631_T002;Zm00001d019631_T005;Zm00001d019631_T007;Zm00001d019631_T012;
A0A1D6HZC8	Zm00001d019631_T010;
A0A1D6HZD2	Zm00001d019631_T014;
A0A1D6HZD3	Zm00001d019631_T006;Zm00001d019631_T008;Zm00001d019631_T009;Zm00001d019631_T015;
A0A1D6HZD4	Zm00001d019631_T016;
A0A1D6HZD7	Zm00001d019631_T019;
A0A1D6HZD8	Zm00001d019632_T001;
A0A1D6HZD9	Zm00001d019632_T002;
A0A1D6HZE0	Zm00001d019635_T001;
A0A1D6HZE1	Zm00001d019636_T001;
A0A1D6HZE2	Zm00001d019637_T001;
A0A1D6HZE3	Zm00001d019637_T002;
A0A1D6HZE4	Zm00001d019637_T003;Zm00001d019637_T004;
A0A1D6HZE6	Zm00001d019637_T005;
A0A1D6HZE7	Zm00001d019637_T006;Zm00001d019637_T007;
A0A1D6HZE9	Zm00001d019637_T008;
A0A1D6HZF0	Zm00001d019637_T009;
A0A1D6HZF1	Zm00001d019637_T010;
A0A1D6HZF2	Zm00001d019641_T001;
A0A1D6HZF3	Zm00001d019641_T002;
A0A1D6HZF4	Zm00001d019642_T001;
A0A1D6HZF7	Zm00001d019642_T002;Zm00001d019642_T003;Zm00001d019642_T004;Zm00001d019642_T005;Zm00001d019642_T006;Zm00001d019642_T007;Zm00001d019642_T008;Zm00001d019642_T009;
A0A1D6HZG3	Zm00001d019643_T001;
A0A1D6HZG4	Zm00001d019643_T002;
A0A1D6HZG5	Zm00001d019643_T003;
A0A1D6HZG6	Zm00001d019643_T004;
A0A1D6HZG7	Zm00001d019643_T005;Zm00001d019643_T011;
A0A1D6HZG8	Zm00001d019643_T006;
A0A1D6HZG9	Zm00001d019643_T007;
A0A1D6HZH1	Zm00001d019643_T009;
A0A1D6HZH2	Zm00001d019643_T010;
A0A1D6HZH4	Zm00001d019643_T012;
A0A1D6HZH6	Zm00001d019644_T002;
A0A1D6HZH7	Zm00001d019644_T003;
A0A1D6HZH8	Zm00001d019644_T004;
A0A1D6HZI0	Zm00001d019648_T001;Zm00001d019648_T002;
A0A1D6HZI2	Zm00001d019650_T001;
A0A1D6HZI3	Zm00001d019655_T001;
A0A1D6HZI4	Zm00001d019656_T001;
A0A1D6HZI5	Zm00001d019659_T001;
A0A1D6HZI6	Zm00001d019660_T001;
A0A1D6HZI7	Zm00001d019661_T001;
A0A1D6HZI8	Zm00001d019662_T001;
A0A1D6HZJ4	Zm00001d019664_T006;
A0A1D6HZJ7	Zm00001d019664_T004;Zm00001d019664_T010;Zm00001d019664_T019;
A0A1D6HZJ9	Zm00001d019664_T001;Zm00001d019664_T007;Zm00001d019664_T008;Zm00001d019664_T011;Zm00001d019664_T015;Zm00001d019664_T017;
A0A1D6HZK0	Zm00001d019664_T002;Zm00001d019664_T012;Zm00001d019664_T013;
A0A1D6HZK8	Zm00001d019664_T020;
A0A1D6HZK9	Zm00001d019664_T021;
A0A1D6HZL0	Zm00001d019665_T001;
A0A1D6HZL1	Zm00001d019666_T001;
A0A1D6HZL2	Zm00001d019667_T001;
A0A1D6HZL3	Zm00001d019668_T001;
A0A1D6HZL7	Zm00001d019670_T003;Zm00001d019670_T028;
A0A1D6HZL9	Zm00001d019670_T005;
A0A1D6HZM1	Zm00001d019670_T001;Zm00001d019670_T007;Zm00001d019670_T015;Zm00001d019670_T021;Zm00001d019670_T027;
A0A1D6HZM6	Zm00001d019670_T012;
A0A1D6HZM7	Zm00001d019670_T010;Zm00001d019670_T013;
A0A1D6HZN0	Zm00001d019670_T017;
A0A1D6HZN3	Zm00001d019670_T009;Zm00001d019670_T019;
A0A1D6HZN6	Zm00001d019670_T022;
A0A1D6HZN9	Zm00001d019670_T025;
A0A1D6HZP0	Zm00001d019670_T026;
A0A1D6HZP5	Zm00001d019670_T031;
A0A1D6HZP6	Zm00001d019670_T032;
A0A1D6HZP7	Zm00001d019671_T001;
A0A1D6HZP8	Zm00001d019671_T002;
A0A1D6HZP9	Zm00001d019671_T003;
A0A1D6HZQ0	Zm00001d019671_T004;
A0A1D6HZQ1	Zm00001d019672_T001;
A0A1D6HZQ2	Zm00001d019672_T002;
A0A1D6HZQ3	Zm00001d019674_T001;
A0A1D6HZQ4	Zm00001d019676_T001;
A0A1D6HZQ5	Zm00001d019677_T001;
A0A1D6HZQ6	Zm00001d019678_T001;
A0A1D6HZQ7	Zm00001d019679_T001;
A0A1D6HZQ8	Zm00001d019680_T001;
A0A1D6HZQ9	Zm00001d019681_T001;
A0A1D6HZR0	Zm00001d019681_T002;
A0A1D6HZR1	Zm00001d019681_T003;
A0A1D6HZR2	Zm00001d019684_T001;Zm00001d019684_T002;
A0A1D6HZR4	Zm00001d019684_T003;
A0A1D6HZR5	Zm00001d019688_T001;
A0A1D6HZR6	Zm00001d019692_T001;
A0A1D6HZR7	Zm00001d019692_T002;
A0A1D6HZR8	Zm00001d019692_T003;
A0A1D6HZR9	Zm00001d019693_T001;
A0A1D6HZS0	Zm00001d019695_T001;
A0A1D6HZS2	Zm00001d019697_T001;
A0A1D6HZS3	Zm00001d019697_T002;
A0A1D6HZS4	Zm00001d019697_T003;
A0A1D6HZS5	Zm00001d019698_T001;
A0A1D6HZS6	Zm00001d019699_T001;
A0A1D6HZS7	Zm00001d019699_T002;
A0A1D6HZS8	Zm00001d019699_T003;
A0A1D6HZS9	Zm00001d019699_T004;
A0A1D6HZT0	Zm00001d019699_T005;
A0A1D6HZT1	Zm00001d019699_T006;
A0A1D6HZT2	Zm00001d019699_T007;
A0A1D6HZT3	Zm00001d019700_T001;
A0A1D6HZT4	Zm00001d019700_T002;
A0A1D6HZT5	Zm00001d019700_T003;
A0A1D6HZT6	Zm00001d019700_T004;
A0A1D6HZT8	Zm00001d019700_T006;
A0A1D6HZT9	Zm00001d019700_T007;
A0A1D6HZU0	Zm00001d019700_T008;
A0A1D6HZU1	Zm00001d019700_T009;
A0A1D6HZU2	Zm00001d019700_T010;
A0A1D6HZU3	Zm00001d019700_T005;Zm00001d019700_T011;
A0A1D6HZU4	Zm00001d019700_T012;
A0A1D6HZU5	Zm00001d019700_T013;
A0A1D6HZU7	Zm00001d019700_T015;
A0A1D6HZU9	Zm00001d019700_T016;Zm00001d019700_T017;
A0A1D6HZV0	Zm00001d019701_T001;
A0A1D6HZV2	Zm00001d019704_T001;
A0A1D6HZV3	Zm00001d019705_T001;
A0A1D6HZV4	Zm00001d019706_T001;
A0A1D6HZV6	Zm00001d019706_T003;
A0A1D6HZV7	Zm00001d019706_T004;
A0A1D6HZW0	Zm00001d019706_T007;
A0A1D6HZW1	Zm00001d019706_T008;
A0A1D6HZW3	Zm00001d019706_T010;
A0A1D6HZW4	Zm00001d019706_T011;
A0A1D6HZW5	Zm00001d019706_T012;
A0A1D6HZW6	Zm00001d019706_T013;
A0A1D6HZW7	Zm00001d019709_T001;
A0A1D6HZW8	Zm00001d019710_T001;
A0A1D6HZW9	Zm00001d019711_T001;
A0A1D6HZX2	Zm00001d019719_T001;
A0A1D6HZX3	Zm00001d019721_T001;
A0A1D6HZX4	Zm00001d019721_T002;
A0A1D6HZX5	Zm00001d019721_T003;
A0A1D6HZY3	Zm00001d019721_T004;
A0A1D6HZY4	Zm00001d019723_T001;
A0A1D6HZY9	Zm00001d019724_T005;
A0A1D6HZZ1	Zm00001d019724_T007;Zm00001d019724_T051;Zm00001d019724_T055;
A0A1D6HZZ4	Zm00001d019724_T010;Zm00001d019724_T011;Zm00001d019724_T012;
A0A1D6I007	Zm00001d019724_T002;Zm00001d019724_T009;Zm00001d019724_T013;Zm00001d019724_T016;Zm00001d019724_T019;Zm00001d019724_T020;Zm00001d019724_T022;Zm00001d019724_T024;Zm00001d019724_T025;Zm00001d019724_T030;Zm00001d019724_T031;Zm00001d019724_T032;Zm00001d019724_T037;Zm00001d019724_T040;Zm00001d019724_T042;Zm00001d019724_T043;Zm00001d019724_T045;Zm00001d019724_T046;Zm00001d019724_T048;Zm00001d019724_T050;Zm00001d019724_T058;
A0A1D6I010	Zm00001d019724_T026;
A0A1D6I019	Zm00001d019724_T001;Zm00001d019724_T033;Zm00001d019724_T035;Zm00001d019724_T036;Zm00001d019724_T044;
A0A1D6I022	Zm00001d019724_T039;Zm00001d019724_T049;
A0A1D6I025	Zm00001d019724_T041;
A0A1D6I031	Zm00001d019724_T047;
A0A1D6I038	Zm00001d019724_T054;
A0A1D6I040	Zm00001d019724_T052;Zm00001d019724_T053;Zm00001d019724_T056;
A0A1D6I041	Zm00001d019724_T057;
A0A1D6I052	Zm00001d019724_T004;Zm00001d019724_T015;Zm00001d019724_T027;Zm00001d019724_T068;
A0A1D6I054	Zm00001d019726_T001;
A0A1D6I055	Zm00001d019727_T001;
A0A1D6I056	Zm00001d019727_T002;
A0A1D6I057	Zm00001d019727_T003;
A0A1D6I058	Zm00001d019727_T004;
A0A1D6I059	Zm00001d019729_T001;
A0A1D6I060	Zm00001d019731_T001;Zm00001d019731_T002;
A0A1D6I062	Zm00001d019733_T001;
A0A1D6I063	Zm00001d019733_T002;
A0A1D6I064	Zm00001d019733_T003;Zm00001d019733_T005;Zm00001d019733_T006;
A0A1D6I065	Zm00001d019733_T004;
A0A1D6I068	Zm00001d019733_T007;
A0A1D6I071	Zm00001d019733_T008;Zm00001d019733_T009;Zm00001d019733_T010;
A0A1D6I072	Zm00001d019733_T011;
A0A1D6I073	Zm00001d019733_T012;
A0A1D6I075	Zm00001d019742_T001;
A0A1D6I076	Zm00001d019743_T001;
A0A1D6I078	Zm00001d019745_T001;
A0A1D6I080	Zm00001d019751_T001;
A0A1D6I082	Zm00001d019753_T001;
A0A1D6I083	Zm00001d019754_T001;
A0A1D6I086	Zm00001d019754_T004;
A0A1D6I087	Zm00001d019754_T003;Zm00001d019754_T005;
A0A1D6I089	Zm00001d019756_T002;
A0A1D6I090	Zm00001d019756_T003;
A0A1D6I091	Zm00001d019756_T004;
A0A1D6I096	Zm00001d019757_T003;
A0A1D6I097	Zm00001d019757_T004;
A0A1D6I098	Zm00001d019757_T005;
A0A1D6I099	Zm00001d019757_T006;
A0A1D6I0A0	Zm00001d019758_T001;
A0A1D6I0A1	Zm00001d019759_T001;
A0A1D6I0A3	Zm00001d019760_T001;Zm00001d019760_T002;
A0A1D6I0A4	Zm00001d019761_T001;
A0A1D6I0A5	Zm00001d019762_T001;
A0A1D6I0A6	Zm00001d019763_T001;
A0A1D6I0A7	Zm00001d019764_T001;
A0A1D6I0A8	Zm00001d019765_T001;
A0A1D6I0A9	Zm00001d019766_T001;
A0A1D6I0B0	Zm00001d019768_T001;
A0A1D6I0B1	Zm00001d019770_T001;
A0A1D6I0B2	Zm00001d019771_T001;
A0A1D6I0B4	Zm00001d019775_T002;
A0A1D6I0B5	Zm00001d019775_T003;
A0A1D6I0B6	Zm00001d019776_T001;
A0A1D6I0B7	Zm00001d019778_T001;
A0A1D6I0B8	Zm00001d019788_T001;
A0A1D6I0C2	Zm00001d019789_T004;
A0A1D6I0C4	Zm00001d019789_T006;
A0A1D6I0C5	Zm00001d019789_T002;Zm00001d019789_T003;Zm00001d019789_T007;Zm00001d019789_T008;
A0A1D6I0C7	Zm00001d019789_T009;Zm00001d019789_T010;
A0A1D6I0C9	Zm00001d019792_T001;
A0A1D6I0D0	Zm00001d019793_T001;
A0A1D6I0D1	Zm00001d019794_T001;
A0A1D6I0D2	Zm00001d019795_T001;
A0A1D6I0D3	Zm00001d019796_T001;
A0A1D6I0D4	Zm00001d019797_T001;
A0A1D6I0D5	Zm00001d019798_T001;
A0A1D6I0D6	Zm00001d019799_T001;
A0A1D6I0D7	Zm00001d019803_T001;
A0A1D6I0D8	Zm00001d019804_T001;
A0A1D6I0D9	Zm00001d019805_T001;Zm00001d019805_T002;
A0A1D6I0E2	Zm00001d019805_T004;
A0A1D6I0E3	Zm00001d019806_T001;
A0A1D6I0E4	Zm00001d019807_T001;
A0A1D6I0E7	Zm00001d019808_T003;
A0A1D6I0E8	Zm00001d019809_T001;
A0A1D6I0E9	Zm00001d019813_T001;
A0A1D6I0F0	Zm00001d019814_T001;
A0A1D6I0F1	Zm00001d019815_T001;
A0A1D6I0F2	Zm00001d019816_T001;
A0A1D6I0F3	Zm00001d019817_T001;
A0A1D6I0F4	Zm00001d019818_T001;
A0A1D6I0F5	Zm00001d019821_T001;
A0A1D6I0F6	Zm00001d019821_T002;
A0A1D6I0F7	Zm00001d019822_T001;
A0A1D6I0F8	Zm00001d019824_T001;
A0A1D6I0F9	Zm00001d019824_T002;
A0A1D6I0G0	Zm00001d019824_T003;
A0A1D6I0G1	Zm00001d019824_T004;Zm00001d019824_T013;
A0A1D6I0G2	Zm00001d019824_T005;
A0A1D6I0G3	Zm00001d019824_T006;
