PathwayID	SubPathways	Reactions
PWY-4381		"2.3.1.180-RXN"" // ""MALONYL-COA-ACP-TRANSACYL-RXN"" // ""ACETYL-COA-CARBOXYLTRANSFER-RXN"
FATTY-ACID-DERIVATIVE-SYN		
FATTY-ACID-DERIVATIVE-DEG		
FASYN-ELONG-PWY		"3-OXOACYL-ACP-SYNTH-RXN"" // ""3-OXOACYL-ACP-REDUCT-RXN"" // ""ENOYL-ACP-REDUCT-NADH-RXN"" // ""ENOYL-ACP-REDUCT-NADPH-RXN"" // ""3-HYDROXYDECANOYL-ACP-DEHYDR-RXN"
Acetlylenic-Fatty-Acid-Biosynthesis		
Fatty-Acid-Degradation		
PWY-5937		TRANS-RXN-172
Fermentation		
Pyruvate-Degradation		
Acetate-Formation		
Alcohol-Biosynthesis		
Acetyl-CoA-Butyrate		
Fermentation-to-Lactate		
Fermentation-to-propanoate		
Fermentation-to-Acids		
FLAVANONES-SYN		
Flavin-Biosynthesis		
RIBOSYN2-PWY		"GTP-CYCLOHYDRO-II-RXN"" // ""RIBOFLAVINSYNDEAM-RXN"" // ""RIBOFLAVINSYNREDUC-RXN"" // ""DIOHBUTANONEPSYN-RXN"" // ""RIBOPHOSPHAT-RXN"" // ""LUMAZINESYN-RXN"" // ""RIBOFLAVIN-SYN-RXN"" // ""FADSYN-RXN"" // ""RIBOFLAVINKIN-RXN"
FLAVONE-SYN		
PWY1F-FLAVSYN		"RXN-3142"" // ""NARINGENIN-3-DIOXYGENASE-RXN"" // ""APIGNAR-RXN"" // ""NARINGENIN-CHALCONE-SYNTHASE-RXN"" // ""4-COUMARATE--COA-LIGASE-RXN"
PWY-6787		"RXN-7921"" // ""RXN-527"" // ""RXN-7775"" // ""RXN-7687"" // ""RXN-7652"" // ""RXN1F-93"" // ""NARINGENIN-3-DIOXYGENASE-RXN"" // ""RXN-7686"" // ""APIGNAR-RXN"" // ""NARINGENIN-CHALCONE-SYNTHASE-RXN"
FLAVONOID-PHYTOALEXINS		
FLAVONOID-SYN		
FLAVONOID-DEG		
PWY-3101		"RXN-8450"" // ""RXN-13718"" // ""RXN-7782"" // ""RXN-12510"" // ""RXN1F-93"" // ""RXN-527"" // ""RXN-525"
FLAVONOL-SYN		
Fluorene-Degradation		
Folate-Biosynthesis		
PWY-2161		"FORMYLTHFGLUSYNTH-RXN"" // ""RXN0-2921"" // ""FOLYLPOLYGLUTAMATESYNTH-RXN"" // ""GLYOHMETRANS-RXN"" // ""FORMATETHFLIG-RXN"
Folate-Transformations		
PWY-3841		"HOMOCYSMETB12-RXN"" // ""RXN-6321"" // ""5-FORMYL-THF-CYCLO-LIGASE-RXN"" // ""THYMIDYLATESYN-RXN"" // ""1.5.1.20-RXN"" // ""FORMATETHFLIG-RXN"" // ""METHENYLTHFCYCLOHYDRO-RXN"" // ""METHYLENETHFDEHYDROG-NADP-RXN"" // ""GCVMULTI-RXN"" // ""GLYOHMETRANS-RXN"" // ""DIHYDROFOLATEREDUCT-RXN"
Formaldehyde-Assimilation		
Formaldehyde-Oxidation		
PWY-1801		"RXN-2962"" // ""RXN-2961"" // ""S-FORMYLGLUTATHIONE-HYDROLASE-RXN"
PWY-1881		1.2.1.2-RXN
PWY-822		"RXN-1803"" // ""RXN-1804"" // ""RXN-1802"" // ""RXN-1801"" // ""RXN-1781"
PWY66-423		"6-PHOSPHOFRUCTO-2-KINASE-RXN"" // ""3.1.3.46-RXN"
PWY-5034		"1.14.13.79-RXN"" // ""RXN1F-160"" // ""RXN1F-161"" // ""1.14.13.78-RXN"" // ""RXN-5242"" // ""RXN-7580"
PWY-401		"RXN-16635"" // ""RXN-9721"" // ""RXN-1226"" // ""RXN-1225"" // ""2.4.1.46-RXN"
GALACTOSE-DEGRADATION		
PWY-6707		"3-DEHYDROQUINATE-DEHYDRATASE-RXN"" // ""RXN-12131"" // ""RXN-12132"
GALLATE-DEG		
GALLOTANNINS		
PWY-4041	GLUTATHIONESYN-PWY	"GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN"" // ""5-OXOPROLINASE-ATP-HYDROLYSING-RXN"" // ""RXN-6601"" // ""RXN-6622"" // ""GLUTATHIONE-SYN-RXN"" // ""GLUTCYSLIG-RXN"
Gamma-linolenate-Biosynthesis		
Gamma-Resorcylate-Degradation		
PWY-66		"1.1.1.271-RXN"" // ""GDPMANDEHYDRA-RXN"
PWY-6		"2.7.7.30-RXN"" // ""FUCOKINASE-RXN"
PWY-5115		"RXN-1882"" // ""RXN-7771"
PWY-5659		"PGLUCISOM-RXN"" // ""2.7.7.13-RXN"" // ""PHOSMANMUT-RXN"" // ""MANNPISOM-RXN"
GDP-Sugar-Biosynthesis		
Energy-Metabolism		
PWY-5307		"RXN-8235"" // ""RXN-8234"" // ""RXN-8233"" // ""RXN-8232"" // ""RXN-8231"" // ""RXN-8228"
Gentisate-Degradation		
PWY-5829		"RXN-9193"" // ""GERANIOL-DEHYDROGENASE-RXN"" // ""RXN-8618"
PWY-5122		GPPSYN-RXN
PWY-5120		FARNESYLTRANSTRANSFERASE-RXN
GGPP-Biosynthesis		
PWY-5733		"RXN-11527"" // ""RXN-8939"" // ""RXN-8562"" // ""RXN-8561"" // ""RXN-8553"
PWY-5070		"RXN1F-165"" // ""RXN-6541"" // ""RXN1F-99"" // ""RXN-6523"" // ""RXN1F-164"" // ""RXN1F-163"" // ""RXN1F-162"
PWY-5035		"RXN-6524"" // ""RXN1F-170"" // ""RXN1F-101"" // ""RXN1F-169"" // ""RXN1F-168"" // ""RXN1F-143"" // ""RXN1F-167"
PWY-7232		"RXN-14327"" // ""RXN-14318"" // ""RXN-14317"
Gibberellin-Inactivation		
PWY-102		"RXN-886"" // ""RXN-991"" // ""RXN-947"" // ""RXN-292"" // ""RXN-6550"" // ""RXN-172"" // ""RXN-171"" // ""RXN-114"" // ""RXN-115"" // ""RXN-118"" // ""RXN-113"
PWY-6494		"RXN-11393"" // ""RXN-11391"" // ""RXN-11392"" // ""RXN-11388"" // ""RXN-11385"" // ""RXN-11387"
GIBBERELLIN-SYN		
GIBBERELLINS-BIOSYNTHESIS		
GIBBERELLINS-DEGRADATION		
Ginsenoside-Degradation		
Gluconeogenesis		
GLUCONEO-PWY		"PGLUCISOM-RXN"" // ""MALATE-DEH-RXN"" // ""1.1.1.39-RXN"" // ""TRIOSEPISOMERIZATION-RXN"" // ""MALIC-NADP-RXN"" // ""PEPSYNTH-RXN"" // ""PEPCARBOXYKIN-RXN"" // ""2PGADEHYDRAT-RXN"" // ""3PGAREARR-RXN"" // ""PHOSGLYPHOS-RXN"" // ""GAPOXNPHOSPHN-RXN"" // ""F16ALDOLASE-RXN"" // ""F16BDEPHOS-RXN"
GLUCOSE1PMETAB-PWY		"RXN0-6373"" // ""GLUCOKIN-RXN"" // ""PHOSPHOGLUCMUT-RXN"" // ""GLUCONOLACT-RXN"" // ""GLUCOSE-1-PHOSPHAT-RXN"
GLUCOSINOLATE-DEG		
GLUCOSINOLATE-SYN		
Glucosylglycerate-Biosynthesis		
PWY-2161B		RXN-3741
PWY-5921		"6.3.5.7-RXN"" // ""RXN-9386"
GLUTATHIONESYN-PWY		"GLUTATHIONE-SYN-RXN"" // ""GLUTCYSLIG-RXN"
GLUT-REDOX-PWY		"GLUTATHIONE-REDUCT-NADPH-RXN"" // ""PRODISULFREDUCT-A-RXN"
PWY-4081		"GLUTATHIONE-REDUCT-NADPH-RXN"" // ""1.11.1.12-RXN"" // ""GLUTATHIONE-PEROXIDASE-RXN"
Glycan-Pathways		
GLYCEROL-DEG		
PWY-4261		"RXN-15745"" // ""GLYCEROL-KIN-RXN"
PWY-6118		"RXN-15745"" // ""1.1.1.8-RXN"
PWY-6952		"RXN-15745"" // ""GLYCPDIESTER-RXN"
PWY1F-353		"RXN-6268"" // ""BADH-RXN"" // ""RXN1F-357"
Glycine-Betaine-Degradation		
GLYSYN2-PWY		"SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN"" // ""THREONINE-ALDOLASE-RXN"" // ""GLYCINE-AMINOTRANSFERASE-RXN"" // ""GLYOHMETRANS-RXN"
GLYCINE-SYN		
GLYSYN-ALA-PWY		ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN
GLYCLEAV-PWY		"RXN-8629"" // ""GCVT-RXN"" // ""GCVP-RXN"
GLYCINE-DEG		
GLYCOGEN-BIOSYN		
Glycogen-Degradation		
GLYOXDEG-PWY		"GLYCOLATEDEHYDRO-RXN"" // ""MALSYN-RXN"
Glycolate-Degradation		
PWY-782		"RXN-8366"" // ""RXN-8369"" // ""RXN-8368"" // ""RXN-8367"" // ""RXN-8365"" // ""RXN-8364"" // ""RXN-8363"" // ""RXN-8314"" // ""RXN-8313"" // ""RXN-8311"" // ""RXN-8310"" // ""RXN-8306"" // ""RXN-8305"" // ""RXN-8304"" // ""RXN-8309"" // ""RXN-8308"" // ""RXN-8307"" // ""RXN-8303"" // ""RXN-8302"" // ""RXN-8301"" // ""RXN-8300"" // ""RXN-8299"" // ""RXN-8298"" // ""RXN-8297"" // ""RXN-8296"" // ""RXN-8295"" // ""RXN-8294"" // ""RXN-1728"
GLYCOLYSIS-VARIANTS		
GLYCOLYSIS		"RXN-15513"" // ""F16BDEPHOS-RXN"" // ""PEPSYNTH-RXN"" // ""PGLUCISOM-RXN"" // ""6PFRUCTPHOS-RXN"" // ""F16ALDOLASE-RXN"" // ""TRIOSEPISOMERIZATION-RXN"" // ""GAPOXNPHOSPHN-RXN"" // ""PHOSGLYPHOS-RXN"" // ""3PGAREARR-RXN"" // ""2PGADEHYDRAT-RXN"" // ""PEPDEPHOS-RXN"
PWY-5484		"RXN-15513"" // ""F16BDEPHOS-RXN"" // ""PEPSYNTH-RXN"" // ""6PFRUCTPHOS-RXN"" // ""F16ALDOLASE-RXN"" // ""TRIOSEPISOMERIZATION-RXN"" // ""GAPOXNPHOSPHN-RXN"" // ""PHOSGLYPHOS-RXN"" // ""3PGAREARR-RXN"" // ""2PGADEHYDRAT-RXN"" // ""PEPDEPHOS-RXN"
PWY-1042		"1.2.1.9-RXN"" // ""PEPDEPHOS-RXN"" // ""2PGADEHYDRAT-RXN"" // ""3PGAREARR-RXN"" // ""PHOSGLYPHOS-RXN"" // ""GAPOXNPHOSPHN-RXN"" // ""TRIOSEPISOMERIZATION-RXN"" // ""F16ALDOLASE-RXN"" // ""2.7.1.90-RXN"" // ""6PFRUCTPHOS-RXN"
Glycosaminoglycan-Degradation		
Glycosaminoglycans-Biosynthesis		
GLYOXYLATE-BYPASS		"MALATE-DEH-RXN"" // ""ACONITATEDEHYDR-RXN"" // ""CITSYN-RXN"" // ""ACONITATEHYDR-RXN"" // ""ISOCIT-CLEAV-RXN"" // ""MALSYN-RXN"
Glyphosate-Degradation		
Guanine-Guanosine-Salvage		
PWY-6599		"RXN0-366"" // ""GUANPRIBOSYLTRAN-RXN"
PWY-6618		GUANOSINEKIN-RXN
Guanosine-Deoxy-Denovo-Biosynthesis		
PWY-7226		"DGDPKIN-RXN"" // ""GDPREDUCT-RXN"
Guanosine-Nucleotides-Degradation		
PWY-6607		"RXN0-901"" // ""GUANOSINE-DEAMINASE-RXN"" // ""RXN-7609"" // ""RXN0-363"
PWY-6606		"RXN0-901"" // ""RXN0-366"" // ""RXN-7609"" // ""GUANINE-DEAMINASE-RXN"
PWY-7221		"GDPKIN-RXN"" // ""GUANYL-KIN-RXN"" // ""GMP-SYN-GLUT-RXN"" // ""IMP-DEHYDROG-RXN"
Heme-b-Biosynthesis		
HEME-SYN		
HEME-BIOSYNTHESIS-II		"RXN0-1461"" // ""PROTOHEMEFERROCHELAT-RXN"" // ""PROTOPORGENOXI-RXN"" // ""UROGENDECARBOX-RXN"
Heme-Degradation		
ISOPRENOIDS		
ISOPRENOIDS-DEG		
PWY-1061		"RXN-2081"" // ""2.4.1.43-RXN"
PWY-1081		"RXN-2103"" // ""RXN-2102"
HORMONE-SYN		
HORMONE-DEG		
Hydrogen-Oxidation		
Hydrogen-Production		
Hydrogen-Sulfide-Biosynthesis		
TANNIN-SYN		
Hydroxyprolines-Degradation		
PWY-5474		"RXN-8715"" // ""RXN-8714"" // ""RXN-8713"" // ""TYRAMINE-N-FERULOYLTRANSFERASE-RXN"" // ""TYROSINE-DECARBOXYLASE-RXN"
PWY-6235		"RXN-10450"" // ""RXN-10451"
Hydroxy-Fatty-Acids-Biosynthesis		
PWY-5925		"RXN-7983"" // ""RXN-7982"" // ""1.14.11.24-RXN"
PWY-6910		"PYRIMSYN3-RXN"" // ""OHMETPYRKIN-RXN"
PWY-5826		"RXN-15121"" // ""RXN-15123"" // ""RXN-15122"" // ""RXN-9189"" // ""RXN-9157"" // ""RXN-9167"" // ""RXN-9168"" // ""RXN-9169"" // ""RXN-9170"" // ""RXN-9171"" // ""RXN-9172"" // ""RXN-9173"" // ""RXN-9174"" // ""RXN-9175"
PWY-5905		"RXN-13417"" // ""RXN-13416"" // ""RXN-13415"" // ""RXN-13414"" // ""DEOXYHYPUSINE-MONOOXYGENASE-RXN"
Eicosapentaenoate-Biosynthesis		
Inactivation		
INDOLE-ALKALOIDS		
PWY-7430		"RXN-15191"" // ""INDOLE-23-DIOXYGENASE-RXN"" // ""RXN-15187"" // ""RXN-15188"
INDOLE-PHYTOALEXIN-SYN		
PWY-1822		"RXN-2982"" // ""RXN-2981"
PWY-1921		"RXN-3167"" // ""RXN-3166"" // ""RXN-3165"" // ""RXN-3164"" // ""RXN-3163"" // ""RXN-3122"" // ""RXN-3121"
PWYDQC-4		"RXNDQC-2"" // ""RXN-10139"
PWY-581		"RXNDQC-2"" // ""RXN-12063"" // ""RXN-12062"" // ""RXN-12061"" // ""RXN-7567"" // ""RXNN-404"" // ""RXN-10139"" // ""RXN-1406"" // ""RXN-1405"" // ""RXN-1404"" // ""RXN-1403"" // ""AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN"" // ""TRYPTOPHAN-AMINOTRANSFERASE-RXN"
AUXINS-DEGRADATION		
PWY-1961		"RXN-3183"" // ""RXN-3182"" // ""RXN-3181"
Indole-3-Acetate-Inactivation		
PWY-6219		"RXN-9083"" // ""RXN-9084"" // ""RXN-2946"" // ""RXN-2944"" // ""RXN-2947"" // ""RXN-2945"" // ""RXN-2948"
PWY-1741		"2.4.2.34-RXN"" // ""2.4.1.156-RXN"" // ""2.3.1.72-RXN"" // ""2.4.1.121-RXN"
Noncarbon-Nutrients		
IMP-Biosynthesis		
PWY-6124		"IMPCYCLOHYDROLASE-RXN"" // ""AICARTRANSFORM-RXN"" // ""AICARSYN-RXN"" // ""SAICARSYN-RXN"" // ""AIRCARBOXY-RXN"
PWY-6369		"RXN-10979"" // ""RXN-10974"" // ""RXN-10973"" // ""RXN-10972"" // ""RXN-10971"" // ""RXN-7163"" // ""RXN-4941"" // ""2.7.4.24-RXN"" // ""2.7.1.152-RXN"
Insecticides-Biosynthesis		
Interconversion		
Iron-Metabolism		
PWY-5934		"RXN-14960"" // ""TRANS-RXN-171"" // ""FERRIC-CHELATE-REDUCTASE-RXN"
Iso-bile-Acids-Biosynthesis		
ISOFLAVONOID-PHYTOALEXINS		
ISOFLAVONOID-SYN		
Isopentenyl-Diphosphate-Biosynthesis		
ISOQUINOLINE-ALKALOIDS		
Jasmonates-Biosynthesis		
PWY-735		"RXN-10708"" // ""RXN-10706"" // ""RXN-10707"" // ""RXN-10696"" // ""RXN-10701"" // ""RXN-10700"" // ""RXN-10699"" // ""RXN-10703"" // ""RXN-10702"" // ""RXN-10698"" // ""RXN-10705"" // ""RXN-10704"" // ""RXN-10697"" // ""RXN-10695"" // ""RXN-1321"" // ""RXN1F-19"" // ""12-OXOPHYTODIENOATE-REDUCTASE-RXN"" // ""ALLENE-OXIDE-CYCLASE-RXN"" // ""RXN-745"
PWY-6220		"RXN-10456"" // ""RXN-10455"" // ""RXN-10457"" // ""RXN-10459"" // ""RXN-10439"
PWY-6233		"RXN-10455"" // ""RXN-10449"" // ""RXN-10459"" // ""RXN-10457"
PWY-6824		"RXN-17352"" // ""RXN-17351"" // ""RXN-12591"" // ""RXN-8677"" // ""RXN-12451"" // ""RXN-8684"
JH-III-Biosynthesis		
Kanosamine-Biosynthesis		
PWY-6887	PWY-5032	"RXN-12597"" // ""RXN-12602"" // ""RXN-12601"" // ""RXN-12600"" // ""RXN-12599"" // ""RXN-12598"" // ""RXN-12593"" // ""4.2.3.19-RXN"" // ""5.5.1.13-RXN"
KDO-Lipid-IV-Transfer		
KDOSYN-PWY		"KDOTRANS2-RXN"" // ""KDOTRANS-RXN"
ALANINE-SYN		
ALANINE-SYN2-PWY		ALANINE-AMINOTRANSFERASE-RXN
PWY0-1021		RXN0-308
ALANINE-DEG		
ALACAT2-PWY		"GLUTAMATE-DEHYDROGENASE-RXN"" // ""DLACTDEHYDROGNAD-RXN"" // ""ALANINE-AMINOTRANSFERASE-RXN"
ALANINE-DEG3-PWY		ALANINE-AMINOTRANSFERASE-RXN
L-Arabinose-Degradation		
ARGININE-SYN		
ARGSYN-PWY	GLUTORN-PWY	"ACETYLORNDEACET-RXN"" // ""ACETYLORNTRANSAM-RXN"" // ""N-ACETYLGLUTPREDUCT-RXN"" // ""ACETYLGLUTKIN-RXN"" // ""N-ACETYLTRANSFER-RXN"" // ""CARBPSYN-RXN"" // ""ORNCARBAMTRANSFER-RXN"" // ""ARGSUCCINLYA-RXN"" // ""ARGSUCCINSYN-RXN"
ARGSYNBSUB-PWY		"N-ACETYLTRANSFER-RXN"" // ""CARBPSYN-RXN"" // ""GLUTAMATE-N-ACETYLTRANSFERASE-RXN"" // ""ACETYLGLUTKIN-RXN"" // ""N-ACETYLGLUTPREDUCT-RXN"" // ""ACETYLORNTRANSAM-RXN"" // ""ORNCARBAMTRANSFER-RXN"" // ""ARGSUCCINLYA-RXN"" // ""ARGSUCCINSYN-RXN"
ARGININE-DEG		
ARGASEDEG-PWY		"RXN-14116"" // ""ORNITHINE-GLU-AMINOTRANSFERASE-RXN"" // ""ARGINASE-RXN"
ARG-PRO-PWY		"SPONTPRO-RXN"" // ""ARGINASE-RXN"" // ""ORNITHINE-GLU-AMINOTRANSFERASE-RXN"" // ""PYRROLINECARBREDUCT-RXN"
PWY-882		"RXN-1882"" // ""2.7.7.13-RXN"" // ""PHOSMANMUT-RXN"" // ""MANNPISOM-RXN"" // ""RXNQT-4141"" // ""RXNQT-4142"" // ""RXN-1884"" // ""GALACTONOLACTONE-DEHYDROGENASE-RXN"
PWY3DJ-35471		"RXN-14693"" // ""RXN-8784"" // ""RXN-8783"" // ""RXN3DJ-64"" // ""GLUCURONATE-REDUCTASE-RXN"" // ""L-GULONOLACTONE-OXIDASE-RXN"
Ascorbate-Degradation		
PWY-6959		"RXN-12862"" // ""RXN-12440"" // ""RXN-12861"" // ""RXN-12870"" // ""RXN-12871"
ASPARAGINE-SYN		
ASPARAGINE-BIOSYNTHESIS		ASNSYNB-RXN
ASPARAGINESYN-PWY		ASNSYNA-RXN
ASPARAGINE-DEG		
ASPARAGINE-DEG1-PWY		ASPARAGHYD-RXN
ASPARTATESYN-PWY		ASPAMINOTRANS-RXN
ASPARTATE-SYN		
ASPARTATE-DEG		
ASPARTATE-DEG1-PWY		ASPAMINOTRANS-RXN
MALATE-ASPARTATE-SHUTTLE-PWY		"MALATE-DEH-RXN"" // ""ASPAMINOTRANS-RXN"
Citrulline-Biosynthesis		
CITRULLINE-DEG-PWY		"CARBAMATE-KINASE-RXN"" // ""ORNCARBAMTRANSFER-RXN"
PWY-4983		"ARGSUCCINLYA-RXN"" // ""ARGSUCCINSYN-RXN"" // ""NITRIC-OXIDE-SYNTHASE-RXN"
CYSTEINE-SYN		
CYSTSYN-PWY		"ACSERLY-RXN"" // ""SERINE-O-ACETTRAN-RXN"
CYSTEINE-DEG		
PWY-6481		"RXN-8483"" // ""MONOPHENOL-MONOOXYGENASE-RXN"" // ""RXN-11369"
GLUTAMATE-SYN		
GLUTAMATE-SYN2-PWY		GLUTAMATE-DEHYDROGENASE-NADP+-RXN
GLUTSYNIII-PWY		GLUTDEHYD-RXN
GLUGLNSYN-PWY		GLUTAMATE-SYNTHASE-NADH-RXN
PWY-4341		GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
GLUTAMATE-DEG		
GLUTAMATE-DEG1-PWY		GLUTAMATE-DEHYDROGENASE-RXN
PWY-4321		"RXN-6903"" // ""RXN-6902"" // ""SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN"" // ""GABATRANSAM-RXN"" // ""GLUTDECARBOX-RXN"
GLUTAMINE-SYN		
GLNSYN-PWY		GLUTAMINESYN-RXN
PWY-6549		"ISOCITDEH-RXN"" // ""ACONITATEHYDR-RXN"" // ""ACONITATEDEHYDR-RXN"" // ""GLUTAMINESYN-RXN"" // ""GLUTAMATE-SYNTHASE-FERREDOXIN-RXN"" // ""ISOCITRATE-DEHYDROGENASE-NAD+-RXN"" // ""CITSYN-RXN"" // ""PEPCARBOX-RXN"" // ""PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN"
GLUTAMINE-DEG		
GLUTAMINDEG-PWY		GLUTAMIN-RXN
HISTSYN-PWY		"ATPPHOSPHORIBOSYLTRANS-RXN"" // ""HISTCYCLOHYD-RXN"" // ""HISTPRATPHYD-RXN"" // ""PRIBFAICARPISOM-RXN"" // ""GLUTAMIDOTRANS-RXN"" // ""IMIDPHOSDEHYD-RXN"" // ""HISTAMINOTRANS-RXN"" // ""HISTIDPHOS-RXN"" // ""HISTOLDEHYD-RXN"" // ""HISTALDEHYD-RXN"
HISTIDINE-SYN		
HISTIDINE-DEG		
PWY-801		"RXN-15131"" // ""RXN-14048"" // ""CYSTATHIONINE-BETA-SYNTHASE-RXN"
HOMOCYSTEINE-DEG		
HOMOSERSYN-PWY		"HOMOSERDEHYDROG-RXN"" // ""ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN"" // ""ASPARTATEKIN-RXN"
HOMOSERINE-DEG		
ISOLEUCINE-SYN		
ILEUSYN-PWY		"RXN-15121"" // ""RXN-15123"" // ""RXN-15122"" // ""ACETOOHBUTSYN-RXN"" // ""ACETOOHBUTREDUCTOISOM-RXN"" // ""BRANCHED-CHAINAMINOTRANSFERILEU-RXN"" // ""DIHYDROXYMETVALDEHYDRAT-RXN"
ISOLEUCINE-DEG		
ILEUDEG-PWY		"2-METHYLACYL-COA-DEHYDROGENASE-RXN"" // ""2KETO-3METHYLVALERATE-RXN"" // ""METHYLACETOACETYLCOATHIOL-RXN"" // ""TIGLYLCOA-HYDROXY-RXN"" // ""1.1.1.178-RXN"" // ""BRANCHED-CHAINAMINOTRANSFERILEU-RXN"
LEUSYN-PWY		"RXN-8991"" // ""RXN-7800"" // ""2-ISOPROPYLMALATESYN-RXN"" // ""3-ISOPROPYLMALISOM-RXN"" // ""BRANCHED-CHAINAMINOTRANSFERLEU-RXN"" // ""3-ISOPROPYLMALDEHYDROG-RXN"
LEUCINE-SYN		
LEUCINE-DEG		
LEU-DEG2-PWY		"RXN0-2301"" // ""HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN"" // ""METHYLGLUTACONYL-COA-HYDRATASE-RXN"" // ""METHYLCROTONYL-COA-CARBOXYLASE-RXN"" // ""2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN"" // ""BRANCHED-CHAINAMINOTRANSFERLEU-RXN"
LYSINE-SYN		
PWY-5097		"RXN-14014"" // ""DIAMINOPIMDECARB-RXN"" // ""DIAMINOPIMEPIM-RXN"" // ""RXN-7737"" // ""DIHYDRODIPICSYN-RXN"" // ""ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN"" // ""ASPARTATEKIN-RXN"
LYSINE-DEG		
METHIONINE-SYN		
PWY-702		"RXN-15131"" // ""MMUM-RXN"" // ""HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN"" // ""HOMOCYSMET-RXN"" // ""CYSPH-RXN"" // ""HOMOSERKIN-RXN"
Methionine-De-novo-Biosynthesis		
METHIONINE-DEG		
METHIONINE-DEG1-PWY		"RXN-7605"" // ""ADENOSYLHOMOCYSTEINASE-RXN"" // ""S-ADENMETSYN-RXN"
PWY-701		"RXN-15123"" // ""RXN-15121"" // ""RXN-14301"
Methionine-Salvage		
PWY-7528	SAM-PWY	"RXN-13072"" // ""RXN-15650"" // ""R147-RXN"" // ""R83-RXN"" // ""R82-RXN"" // ""R145-RXN"" // ""5.3.1.23-RXN"" // ""5-METHYLTHIORIBOSE-KINASE-RXN"" // ""METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN"" // ""SAMDECARB-RXN"" // ""SPERMIDINESYN-RXN"" // ""S-ADENMETSYN-RXN"
PWY-7270	SAM-PWY	"RXN-13072"" // ""RXN-15650"" // ""R147-RXN"" // ""R83-RXN"" // ""R82-RXN"" // ""R145-RXN"" // ""5.3.1.23-RXN"" // ""5-METHYLTHIORIBOSE-KINASE-RXN"" // ""METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN"" // ""4.4.1.14-RXN"" // ""S-ADENMETSYN-RXN"
PWY-6922		"GLUTSEMIALDEHYDROG-RXN"" // ""GLUTKIN-RXN"" // ""RXN-14903"" // ""SPONTPRO-RXN"" // ""ORNITHINE-GLU-AMINOTRANSFERASE-RXN"" // ""RXN-12667"" // ""ARGINASE-RXN"
PWY-5957		2.5.1.43-RXN
L-Ornithine-Biosynthesis		
GLUTORN-PWY		"ACETYLORNDEACET-RXN"" // ""ACETYLORNTRANSAM-RXN"" // ""N-ACETYLGLUTPREDUCT-RXN"" // ""ACETYLGLUTKIN-RXN"" // ""N-ACETYLTRANSFER-RXN"
PHENYLALANINE-SYN		
PWY-3462		"CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN"" // ""PREPHENATE-TRANSAMINE-RXN"" // ""CHORISMATEMUT-RXN"
PHENYLALANINE-DEG		
PWY-7158		"RXN-13907"" // ""RXN-13908"" // ""RXN-13909"
PROLINE-SYN		
PROSYN-PWY		"GLUTKIN-RXN"" // ""GLUTSEMIALDEHYDROG-RXN"" // ""PYRROLINECARBREDUCT-RXN"" // ""SPONTPRO-RXN"
PWY-3341		"GLUTSEMIALDEHYDROG-RXN"" // ""GLUTKIN-RXN"" // ""SPONTPRO-RXN"" // ""PYRROLINECARBREDUCT-RXN"" // ""ORNITHINE-GLU-AMINOTRANSFERASE-RXN"
PROUT-PWY		"SPONTPRO-RXN"" // ""RXN-14116"" // ""RXN-14903"
PROLINE-DEG		
Pyrrolysine-Biosynthesis		
L-rhamnose-Degradation		
Selenocysteine-Biosynthesis		
PWY-6281		"2.7.9.3-RXN"" // ""RXN-10039"" // ""RXN-10038"" // ""RXN0-2161"
SERSYN-PWY		"RXN0-5114"" // ""PGLYCDEHYDROG-RXN"" // ""PSERTRANSAM-RXN"
SERINE-BIOSYNTHESIS		
SERINE-DEG		
HOMOSER-THRESYN-PWY		"THRESYN-RXN"" // ""HOMOSERKIN-RXN"
THREONINE-BIOSYNTHESIS		
THREONINE-DEG		
TRPSYN-PWY		"RXN0-2381"" // ""RXN0-2382"" // ""ANTHRANSYN-RXN"" // ""PRTRANS-RXN"" // ""PRAISOM-RXN"" // ""IGPSYN-RXN"
TRYPTOPHAN-BIOSYNTHESIS		
TRYPTOPHAN-DEG		
PWY-3181		"RXN-1401"" // ""INDOLE-3-ACETALDEHYDE-OXIDASE-RXN"" // ""AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN"
TYROSINE-SYN		
PWY-3461		"RXN-5682"" // ""PREPHENATE-TRANSAMINE-RXN"" // ""CHORISMATEMUT-RXN"
