ReactionID	Genes
RXN-10692	
1.14.11.9-RXN	GDQC-14320 // GDQC-14080 // GDQC-13468 // GDQC-13153 // GDQC-12284 // GDQC-12098 // GDQC-11943 // GDQC-11927 // GDQC-11590 // GDQC-10934 // GDQC-10661 // GDQC-10269 // GDQC-9556 // GDQC-8964 // GDQC-8961 // GDQC-8805 // GDQC-8022
OHBUTYRYL-COA-EPIM-RXN	
RXN-7699	GDQC-14791 // GDQC-14654 // GDQC-14620 // GDQC-13133 // GDQC-11302 // GDQC-9328 // GDQC-8953 // GDQC-8614 // GDQC-8385 // GDQC-8171
RXN-17475	GDQC-14570 // GDQC-13227 // GDQC-11869 // GDQC-11295 // GDQC-10234 // GDQC-10225 // GDQC-9320 // GDQC-9319 // GDQC-8422
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	GDQC-9294 // GDQC-8512 // GDQC-7944
RXN1G-320	
RXN1G-363	
4.2.1.58-RXN	GDQC-9294 // GDQC-7944
RXN-10061	
RXN-9655	
RXN-9533	
RXN-9520	
RXN1G-517	
RXN-9537	
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	GDQC-9480
UDPNACETYLGLUCOSAMACYLTRANS-RXN	GDQC-14818
4.2.1.59-RXN	
4.2.1.61-RXN	
RXN-9553	
RXN-9634	
OHACYL-COA-DEHYDROG-RXN	GDQC-14570 // GDQC-11869 // GDQC-11295 // GDQC-8422
3.2.1.114-RXN	GDQC-14464 // GDQC-11522
3.2.1.113-RXN	GDQC-13061 // GDQC-12748 // GDQC-12729 // GDQC-12330 // GDQC-10981 // GDQC-10710 // GDQC-10592 // GDQC-8233 // GDQC-7724
RXN66-475	GDQC-11657
GALACTOLIPASE-RXN	GDQC-14605 // GDQC-13982 // GDQC-12902 // GDQC-12518 // GDQC-12025 // GDQC-10666 // GDQC-10622 // GDQC-10481 // GDQC-10336 // GDQC-10000 // GDQC-9491 // GDQC-9066 // GDQC-8168 // GDQC-7874 // GDQC-7859
RXN-9721	
RXN-16635	
2.3.1.158-RXN	GDQC-14806 // GDQC-9748 // GDQC-9449 // GDQC-7678
RXN-5781	GDQC-13485 // GDQC-10170 // GDQC-8586
ETHANOLAMINEPHOSPHOTRANSFERASE-RXN	GDQC-13485 // GDQC-10170
RXN-12434	GDQC-13706 // GDQC-11397 // GDQC-10805 // GDQC-8519 // GDQC-7891 // GDQC-7693
RXN-11277	GDQC-14810 // GDQC-13880 // GDQC-11934 // GDQC-11045 // GDQC-10565 // GDQC-10338 // GDQC-8252 // GDQC-7917
RXN-13336	
PHOSPHATIDATE-PHOSPHATASE-RXN	GDQC-14830 // GDQC-14810 // GDQC-13880 // GDQC-13814 // GDQC-13621 // GDQC-12977 // GDQC-12694 // GDQC-11934 // GDQC-11045 // GDQC-10708 // GDQC-10565 // GDQC-10338 // GDQC-9325 // GDQC-9308 // GDQC-9271 // GDQC-8301 // GDQC-8252 // GDQC-7917
RXN-1602	GDQC-12894 // GDQC-12872 // GDQC-12698 // GDQC-12246 // GDQC-11339 // GDQC-10844 // GDQC-10557 // GDQC-9429 // GDQC-9209 // GDQC-8975 // GDQC-8528
RXN-12433	GDQC-13706 // GDQC-11397 // GDQC-10805 // GDQC-8519 // GDQC-7891 // GDQC-7693
2.4.1.19-RXN	GDQC-10128 // GDQC-9471
GLYCOGEN-BRANCH-RXN	GDQC-13818 // GDQC-13566 // GDQC-10304 // GDQC-9974 // GDQC-9525 // GDQC-8631 // GDQC-8490 // GDQC-8238
RXN-1827	GDQC-14919 // GDQC-14542 // GDQC-12839 // GDQC-12635 // GDQC-12565 // GDQC-11425 // GDQC-11249 // GDQC-10912 // GDQC-10770 // GDQC-10442 // GDQC-10421 // GDQC-10209 // GDQC-10153 // GDQC-10099 // GDQC-9444 // GDQC-8429 // GDQC-8321
RXN0-5181	GDQC-13594 // GDQC-10692
ALPHA-AMYL-RXN	GDQC-14579 // GDQC-14310 // GDQC-13948 // GDQC-13594 // GDQC-13273 // GDQC-10692 // GDQC-10171
RXN-9461	GDQC-14839 // GDQC-14635 // GDQC-14069 // GDQC-13912 // GDQC-13803 // GDQC-13769 // GDQC-13696 // GDQC-13072 // GDQC-12957 // GDQC-12827 // GDQC-12811 // GDQC-12700 // GDQC-12612 // GDQC-12579 // GDQC-12303 // GDQC-11744 // GDQC-11449 // GDQC-10976 // GDQC-10281 // GDQC-10196 // GDQC-10083 // GDQC-9939 // GDQC-9895 // GDQC-9707 // GDQC-9626 // GDQC-9324 // GDQC-9001 // GDQC-8966 // GDQC-8839 // GDQC-8427 // GDQC-8234 // GDQC-8068 // GDQC-8041 // GDQC-7978
PLASMALOGEN-SYNTHASE-RXN	GDQC-14986 // GDQC-9787 // GDQC-8717 // GDQC-8498
LYSOPHOSPHOLIPASE-RXN	GDQC-13031 // GDQC-12166 // GDQC-11283 // GDQC-10761 // GDQC-9855 // GDQC-8981 // GDQC-7637
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	
RXN-11696	GDQC-14127 // GDQC-13938 // GDQC-13545 // GDQC-12765 // GDQC-12633 // GDQC-11766 // GDQC-8869
RXN-14535	GDQC-13938 // GDQC-12918 // GDQC-12633 // GDQC-11888 // GDQC-11182 // GDQC-8869
HALOALKANE-DEHALOGENASE-RXN	GDQC-12130 // GDQC-11483
3.1.1.23-RXN	GDQC-14195 // GDQC-14079 // GDQC-13706 // GDQC-13408 // GDQC-13314 // GDQC-13004 // GDQC-12575 // GDQC-11397 // GDQC-11084 // GDQC-10805 // GDQC-8993 // GDQC-8967 // GDQC-8944 // GDQC-8850 // GDQC-8519 // GDQC-8416 // GDQC-7891 // GDQC-7693 // GDQC-7666
3.1.3.66-RXN	GDQC-13655 // GDQC-12938 // GDQC-12282 // GDQC-9710 // GDQC-7969
2.7.1.150-RXN	GDQC-14883 // GDQC-13874 // GDQC-13686 // GDQC-13190 // GDQC-13101 // GDQC-12238 // GDQC-11956 // GDQC-11513 // GDQC-10998 // GDQC-10970 // GDQC-10084 // GDQC-9518 // GDQC-9214 // GDQC-8303 // GDQC-7854
PHOSPHATIDYLINOSITOL-3-PHOSPHATASE-RXN	GDQC-9008 // GDQC-7986
2.7.1.153-RXN	
3.1.4.11-RXN	GDQC-14033 // GDQC-13379 // GDQC-12599 // GDQC-11711 // GDQC-11363 // GDQC-9202
PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN	GDQC-14925 // GDQC-14876 // GDQC-14783 // GDQC-14467 // GDQC-14430 // GDQC-14070 // GDQC-13849 // GDQC-13675 // GDQC-13662 // GDQC-13407 // GDQC-12483 // GDQC-12109 // GDQC-12093 // GDQC-11726 // GDQC-11684 // GDQC-11493 // GDQC-11260 // GDQC-10695 // GDQC-10637 // GDQC-10158 // GDQC-9235 // GDQC-9096 // GDQC-8622 // GDQC-7842
RXN-9779	
2.7.1.154-RXN	
2.7.1.68-RXN	GDQC-14767 // GDQC-14231 // GDQC-13697 // GDQC-13263 // GDQC-12627 // GDQC-12027 // GDQC-11598 // GDQC-11594 // GDQC-11106 // GDQC-10813 // GDQC-10808 // GDQC-10674 // GDQC-10568 // GDQC-10477 // GDQC-10453 // GDQC-10293 // GDQC-10273 // GDQC-9887 // GDQC-9653 // GDQC-9055 // GDQC-8710 // GDQC-8468 // GDQC-8000
2.7.1.149-RXN	
RXN-10962	GDQC-9403
RXN-13908	GDQC-14207
RXN-13961	GDQC-13988 // GDQC-13033 // GDQC-12870 // GDQC-11533 // GDQC-11096 // GDQC-8322
RXN-4141	
RXN-4122	
ACYLCOASYN-RXN	GDQC-14580 // GDQC-14505
RXN-4121	GDQC-14452 // GDQC-13883 // GDQC-10746 // GDQC-10697 // GDQC-10422 // GDQC-8606
THIOESTER-RXN	GDQC-14039
RXN-11026	
3-OXOACYL-ACP-SYNTH-RXN	
RXN-1603	
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	GDQC-14846 // GDQC-14474 // GDQC-13823 // GDQC-13499 // GDQC-13413 // GDQC-12261 // GDQC-12199 // GDQC-12049 // GDQC-11600 // GDQC-10818 // GDQC-9650 // GDQC-9115 // GDQC-8471 // GDQC-7935
RXN-7952	GDQC-13706 // GDQC-11397 // GDQC-10805 // GDQC-8519 // GDQC-7891 // GDQC-7693
AMINOGLYCOSIDE-N3-ACETYLTRANSFERASE-RXN	GDQC-14429
RXN66-471	GDQC-11657
RXN-11754	GDQC-13248 // GDQC-12076 // GDQC-10843 // GDQC-10745 // GDQC-10132 // GDQC-9338
RXN66-483	
RXN66-472	
PYRUVATE-DECARBOXYLASE-RXN	GDQC-14368 // GDQC-12912 // GDQC-12419 // GDQC-11139 // GDQC-10088
RXN0-7083	GDQC-13400 // GDQC-12775 // GDQC-11877 // GDQC-11394 // GDQC-10675
RXN0-7082	GDQC-13400 // GDQC-12775 // GDQC-11877 // GDQC-11394 // GDQC-10675
RXN-7835	
RXN-14326	GDQC-14678
RXN-15775	
RXN-11370	GDQC-14678
RXN-11373	GDQC-14678
RXN-11374	GDQC-14678
RXN-11837	GDQC-14906
RXN-8671	GDQC-14445 // GDQC-13226 // GDQC-13139 // GDQC-13126 // GDQC-11602 // GDQC-11495 // GDQC-9590
RXN-11757	GDQC-13794 // GDQC-13211 // GDQC-12538 // GDQC-11312 // GDQC-9508 // GDQC-8246 // GDQC-8167
RXN-12160	GDQC-13794 // GDQC-13211 // GDQC-12538 // GDQC-11312 // GDQC-9508 // GDQC-8246 // GDQC-8167
ACYLPYRUVATE-HYDROLASE-RXN	GDQC-14023 // GDQC-13661 // GDQC-13068 // GDQC-12996 // GDQC-12022
RXN66-469	
PHOSPHASERDECARB-RXN	GDQC-13128 // GDQC-11300 // GDQC-10657
1.3.99.5-RXN	GDQC-10289 // GDQC-9697 // GDQC-8409 // GDQC-8017
3-OXO-5-BETA-STEROID-4-DEHYDROGENASE-RXN	GDQC-14724 // GDQC-9933 // GDQC-8458
RXN1G-349	
RXN1G-469	
RXN-10060	
RXN-10659	
RXN-9556	
RXN-9528	
RXN-13008	
RXN-15281	GDQC-10664
RXN-9532	
RXN-11476	
RXN-14972	
RXN-9518	
RXN1G-508	
RXN-15280	GDQC-10664
RXN-9536	
RXN-14973	
RXN-9524	
RXN-15282	GDQC-10664
RXN-9540	
RXN-9552	
RXN-11480	
RXN-9633	
RXN-13248	GDQC-8024
KETOACYLCOATHIOL-RXN	GDQC-14898 // GDQC-14465 // GDQC-14391 // GDQC-13976 // GDQC-12596 // GDQC-12228 // GDQC-12058 // GDQC-10006 // GDQC-9763 // GDQC-8053
3-OXOACYL-ACP-REDUCT-RXN	GDQC-13768 // GDQC-12321 // GDQC-12311 // GDQC-11844 // GDQC-11725 // GDQC-11480 // GDQC-10004 // GDQC-8639 // GDQC-7877
RXN-13926	GDQC-14571 // GDQC-14514 // GDQC-13995 // GDQC-13781 // GDQC-13738 // GDQC-12822 // GDQC-12477 // GDQC-9259
1.1.1.145-RXN	GDQC-14222 // GDQC-13535 // GDQC-12524
RXN-6321	
METHENYLTHFCYCLOHYDRO-RXN	GDQC-13821 // GDQC-9980 // GDQC-8958
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	GDQC-12174 // GDQC-10979 // GDQC-8435
THYMIDYLATESYN-RXN	GDQC-12789 // GDQC-11586 // GDQC-8591 // GDQC-8462
1.5.1.20-RXN	GDQC-12366 // GDQC-11874 // GDQC-9309 // GDQC-9153
METHYLENETHFDEHYDROG-NADP-RXN	GDQC-13821 // GDQC-9980 // GDQC-8958
GLUTAMATE-FORMIMINOTRANSFERASE-RXN	GDQC-14158 // GDQC-12900
GAMMA-GLUTAMYLTRANSFERASE-RXN	GDQC-113394 // GDQC-13837 // GDQC-12993 // GDQC-12961 // GDQC-104563
3.1.1.69-RXN	GDQC-12523 // GDQC-8165
RXN-12218	GDQC-13431 // GDQC-12237 // GDQC-7883
RXN-12277	GDQC-13431 // GDQC-12237 // GDQC-7883
RXN-12204	
RXN-12217	GDQC-13431 // GDQC-12237 // GDQC-7883
RXN-12276	GDQC-13431 // GDQC-12237 // GDQC-7883
RXN-12202	GDQC-14495 // GDQC-12937
DIHYDROFOLATEREDUCT-RXN	GDQC-12789 // GDQC-11586 // GDQC-11433 // GDQC-9218 // GDQC-8591 // GDQC-8462
RXN-7973	GDQC-110224 // GDQC-14787 // GDQC-14731 // GDQC-14711 // GDQC-14618 // GDQC-14211 // GDQC-13905 // GDQC-13495 // GDQC-13493 // GDQC-13159 // GDQC-13113 // GDQC-13085 // GDQC-12963 // GDQC-12798 // GDQC-12688 // GDQC-12421 // GDQC-12225 // GDQC-12152 // GDQC-11984 // GDQC-10676 // GDQC-10240 // GDQC-9112 // GDQC-8013
3.2.1.152-RXN	GDQC-9502
RXN1G-488	
3.2.1.78-RXN	GDQC-14742 // GDQC-14556 // GDQC-14512 // GDQC-13179 // GDQC-9849 // GDQC-9513 // GDQC-8956 // GDQC-8596
3.6.3.42-RXN	GDQC-12755
3.2.1.21-RXN	GDQC-14865 // GDQC-14828 // GDQC-14827 // GDQC-14590 // GDQC-14398 // GDQC-14296 // GDQC-14165 // GDQC-13508 // GDQC-13361 // GDQC-12816 // GDQC-12600 // GDQC-12216 // GDQC-11293 // GDQC-10992 // GDQC-10587 // GDQC-10566 // GDQC-10447 // GDQC-10333 // GDQC-10237 // GDQC-9834 // GDQC-9739 // GDQC-9679 // GDQC-9230 // GDQC-9142 // GDQC-9089 // GDQC-9057 // GDQC-8938 // GDQC-8668 // GDQC-8548 // GDQC-8463 // GDQC-7994 // GDQC-7968 // GDQC-7913
RXN-9985	GDQC-14864 // GDQC-14631 // GDQC-14256 // GDQC-13869 // GDQC-13183 // GDQC-12808 // GDQC-12428 // GDQC-12196 // GDQC-11338 // GDQC-11216 // GDQC-10880 // GDQC-10681 // GDQC-10271 // GDQC-9944 // GDQC-9425 // GDQC-9424 // GDQC-8835 // GDQC-8688 // GDQC-8420
3.2.1.23-RXN	GDQC-14653 // GDQC-14335 // GDQC-14129 // GDQC-13894 // GDQC-13807 // GDQC-13776 // GDQC-13695 // GDQC-13643 // GDQC-13299 // GDQC-12497 // GDQC-12223 // GDQC-11699 // GDQC-11496 // GDQC-11366 // GDQC-11220 // GDQC-11043 // GDQC-10905 // GDQC-10873 // GDQC-10846 // GDQC-10452 // GDQC-10365 // GDQC-9537 // GDQC-9249 // GDQC-9133 // GDQC-8840 // GDQC-8812 // GDQC-8543 // GDQC-8541 // GDQC-8048 // GDQC-7834
RXN-11341	GDQC-12520 // GDQC-12400
GLUCOSYLCERAMIDASE-RXN	GDQC-14282 // GDQC-13533 // GDQC-10790 // GDQC-10115
BETA-GLUCURONID-RXN	GDQC-14286 // GDQC-13725 // GDQC-12962 // GDQC-12861 // GDQC-11512 // GDQC-11161 // GDQC-9992 // GDQC-9458
BETA-LACTAMASE-RXN	GDQC-14361 // GDQC-14203 // GDQC-12771 // GDQC-10299 // GDQC-9100 // GDQC-9074 // GDQC-7946
BIOTIN-CARBOXYL-RXN	GDQC-14600 // GDQC-13084 // GDQC-13060
RXN-9516	
STEROID-17-ALPHA-MONOOXYGENASE-RXN	GDQC-10441
RXN-12473	GDQC-11410 // GDQC-11359 // GDQC-8713
BUTYRATE--COA-LIGASE-RXN	GDQC-12908 // GDQC-9919 // GDQC-8937
CARBOXYLESTERASE-RXN	GDQC-14844 // GDQC-14781 // GDQC-14779 // GDQC-14614 // GDQC-14602 // GDQC-14515 // GDQC-14490 // GDQC-14483 // GDQC-14455 // GDQC-14334 // GDQC-14188 // GDQC-14183 // GDQC-14155 // GDQC-14104 // GDQC-14004 // GDQC-13945 // GDQC-13872 // GDQC-13789 // GDQC-13564 // GDQC-13457 // GDQC-13401 // GDQC-13386 // GDQC-13294 // GDQC-13095 // GDQC-13090 // GDQC-13055 // GDQC-12986 // GDQC-12965 // GDQC-12910 // GDQC-12856 // GDQC-12754 // GDQC-12738 // GDQC-12604 // GDQC-12467 // GDQC-12464 // GDQC-12452 // GDQC-12214 // GDQC-12117 // GDQC-12060 // GDQC-11868 // GDQC-11817 // GDQC-11793 // GDQC-11712 // GDQC-11688 // GDQC-11672 // GDQC-11628 // GDQC-11429 // GDQC-11367 // GDQC-11255 // GDQC-11050 // GDQC-10947 // GDQC-10854 // GDQC-10823 // GDQC-10803 // GDQC-10801 // GDQC-10689 // GDQC-10572 // GDQC-10523 // GDQC-10392 // GDQC-10359 // GDQC-10256 // GDQC-10205 // GDQC-10113 // GDQC-10070 // GDQC-10067 // GDQC-9929 // GDQC-9907 // GDQC-9890 // GDQC-9702 // GDQC-9646 // GDQC-9575 // GDQC-9561 // GDQC-9557 // GDQC-9539 // GDQC-9372 // GDQC-9347 // GDQC-9263 // GDQC-9223 // GDQC-9211 // GDQC-9187 // GDQC-8995 // GDQC-8816 // GDQC-8721 // GDQC-8551 // GDQC-8539 // GDQC-8358 // GDQC-8227 // GDQC-8188 // GDQC-8181 // GDQC-8009 // GDQC-7956 // GDQC-7922 // GDQC-7846 // GDQC-7779 // GDQC-7667 // GDQC-7656
RXN-12496	GDQC-11412 // GDQC-11186 // GDQC-11112
RXN-12495	GDQC-12526
RXN-8141	
PHOSPHASERSYN-RXN	GDQC-14940 // GDQC-14503 // GDQC-14051 // GDQC-13521 // GDQC-12055 // GDQC-11750 // GDQC-11681 // GDQC-10876 // GDQC-10142 // GDQC-9024 // GDQC-8456
2.7.8.11-RXN	GDQC-14482 // GDQC-13258 // GDQC-10078 // GDQC-9093
PHOSPHAGLYPSYN-RXN	GDQC-14867 // GDQC-12873 // GDQC-12649 // GDQC-11471 // GDQC-9533 // GDQC-8263
3.2.1.91-RXN	GDQC-12658
CERAMIDE-KINASE-RXN	GDQC-12564 // GDQC-7881
RXN-11375	GDQC-13758 // GDQC-9851 // GDQC-8136
RXN-10062	
CHALCONE-ISOMERASE-RXN	GDQC-13865 // GDQC-11621 // GDQC-11387 // GDQC-10627 // GDQC-9318 // GDQC-8045 // GDQC-7718
RXN-12623	
TRANS-RXN-323	
CHLOROPHYLLASE-RXN	GDQC-13673 // GDQC-12926 // GDQC-10052
ENOYL-COA-DELTA-ISOM-RXN	
RXN-12518	GDQC-14891 // GDQC-14877 // GDQC-11823 // GDQC-11322 // GDQC-11150 // GDQC-10924 // GDQC-9871 // GDQC-9607 // GDQC-7942
RXN1G-163	
RXN1G-260	
RXN1G-358	
RXN1G-881	
RXN1G-1053	
RXN1G-287	
RXN1G-72	
RXN1G-364	
RXN1G-240	
RXN-9555	
RXN-9657	GDQC-14012
RXN-9515	
3.1.1.74-RXN	GDQC-11520
D-AMINO-ACID-OXIDASE-RXN	GDQC-10996 // GDQC-8059
HEXOKINASE-RXN	GDQC-14358 // GDQC-14304 // GDQC-14179 // GDQC-13986 // GDQC-13449 // GDQC-12712 // GDQC-12189 // GDQC-12155 // GDQC-11763 // GDQC-11431 // GDQC-10829 // GDQC-10505 // GDQC-9406 // GDQC-8341
RXN-13624	GDQC-10914
RXN-9531	
RXN-16378	GDQC-13217 // GDQC-7810
RXN-9971	GDQC-14744 // GDQC-12622
RXN-7796	GDQC-13668 // GDQC-8135
RXN-14250	GDQC-14884 // GDQC-13347 // GDQC-12887 // GDQC-11706 // GDQC-11583 // GDQC-10615 // GDQC-9747 // GDQC-8843 // GDQC-8376 // GDQC-7741
RXN-7801	
RXN-7799	
RXN-7797	
3.4.13.9-RXN	GDQC-11414
RXN-15776	
DIPHTINE--AMMONIA-LIGASE-RXN	GDQC-10788
RXN-9535	
3.1.2.21-RXN	GDQC-14968
DOLICHOL-KINASE-RXN	GDQC-11973
RXN-16593	
RXN-16594	
2.4.1.83-RXN	GDQC-8815 // GDQC-8278
2.4.1.117-RXN	GDQC-14462 // GDQC-11179
2.7.8.15-RXN	GDQC-10341 // GDQC-9346
2.4.1.207-RXN	GDQC-14929 // GDQC-14794 // GDQC-14763 // GDQC-14712 // GDQC-14545 // GDQC-14162 // GDQC-13582 // GDQC-13443 // GDQC-13355 // GDQC-13114 // GDQC-12960 // GDQC-12794 // GDQC-12792 // GDQC-12413 // GDQC-12111 // GDQC-12061 // GDQC-11635 // GDQC-11424 // GDQC-11184 // GDQC-11074 // GDQC-10953 // GDQC-10733 // GDQC-10480 // GDQC-10259 // GDQC-10108 // GDQC-9861 // GDQC-9774 // GDQC-9718 // GDQC-9692 // GDQC-9602 // GDQC-9020 // GDQC-8436 // GDQC-8308 // GDQC-7934 // GDQC-7796
3.6.4.2-RXN	GDQC-14943 // GDQC-14922 // GDQC-13800 // GDQC-12605 // GDQC-11528 // GDQC-10491 // GDQC-9833 // GDQC-8891 // GDQC-8361 // GDQC-7879
RXN-4142	
3.1.1.73-RXN	GDQC-13525 // GDQC-13111 // GDQC-12489 // GDQC-12096 // GDQC-11901 // GDQC-9201 // GDQC-8768 // GDQC-7646
RXN-13192	GDQC-9590 // GDQC-11495 // GDQC-11602 // GDQC-13126 // GDQC-13139 // GDQC-13226 // GDQC-14445
RXN-7783	GDQC-14445 // GDQC-13226 // GDQC-13139 // GDQC-13126 // GDQC-11602 // GDQC-11495 // GDQC-9590
FLAVONOID-3-MONOOXYGENASE-RXN	GDQC-106547 // GDQC-14295 // GDQC-12772 // GDQC-11773 // GDQC-11354 // GDQC-11291 // GDQC-11170 // GDQC-10647 // GDQC-10594 // GDQC-10550 // GDQC-10532 // GDQC-9926 // GDQC-9629 // GDQC-9474 // GDQC-9174 // GDQC-8977 // GDQC-8536 // GDQC-8113 // GDQC-7781
RXN-3742	GDQC-8636 // GDQC-9385 // GDQC-9915 // GDQC-13387
RXN-12391	
RXN-6641	GDQC-12993
GLYCPDIESTER-RXN	GDQC-14896 // GDQC-14886 // GDQC-14848 // GDQC-14426 // GDQC-13750 // GDQC-13746 // GDQC-13698 // GDQC-13318 // GDQC-13234 // GDQC-12844 // GDQC-12840 // GDQC-12769 // GDQC-12731 // GDQC-12573 // GDQC-12210 // GDQC-12191 // GDQC-11872 // GDQC-11749 // GDQC-11730 // GDQC-11722 // GDQC-11656 // GDQC-11557 // GDQC-11501 // GDQC-11146 // GDQC-10915 // GDQC-10678 // GDQC-10673 // GDQC-10493 // GDQC-10471 // GDQC-10043 // GDQC-9767 // GDQC-9551 // GDQC-9298 // GDQC-9172 // GDQC-9036 // GDQC-8797 // GDQC-8732 // GDQC-8704 // GDQC-8518 // GDQC-8193 // GDQC-8137 // GDQC-7981
3.2.1.96-RXN	GDQC-8818
RXN0-1321	GDQC-12651 // GDQC-11435
QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	GDQC-12651 // GDQC-11435
RXN-12415	GDQC-14839 // GDQC-14635 // GDQC-14069 // GDQC-13912 // GDQC-13803 // GDQC-13769 // GDQC-13696 // GDQC-13072 // GDQC-12957 // GDQC-12827 // GDQC-12811 // GDQC-12700 // GDQC-12612 // GDQC-12579 // GDQC-12303 // GDQC-11744 // GDQC-11449 // GDQC-10976 // GDQC-10281 // GDQC-10196 // GDQC-10083 // GDQC-9939 // GDQC-9895 // GDQC-9707 // GDQC-9626 // GDQC-9324 // GDQC-9001 // GDQC-8966 // GDQC-8839 // GDQC-8427 // GDQC-8234 // GDQC-8068 // GDQC-8041 // GDQC-7978
RXN-13259	GDQC-13326 // GDQC-12886 // GDQC-9554
RXN-9479	GDQC-11436 // GDQC-8312
RXN-9523	
3.6.4.11-RXN	GDQC-11591 // GDQC-10320 // GDQC-9793
3.1.4.14-RXN	
MALONYL-COA-ACP-TRANSACYL-RXN	GDQC-12716 // GDQC-8588
RXN-2081	
RXN-9589	GDQC-14912 // GDQC-14732 // GDQC-14583 // GDQC-13957 // GDQC-13663 // GDQC-13311 // GDQC-13105 // GDQC-13080 // GDQC-13039 // GDQC-12868 // GDQC-12812 // GDQC-12645 // GDQC-12326 // GDQC-12035 // GDQC-11958 // GDQC-11796 // GDQC-11527 // GDQC-10642 // GDQC-10596 // GDQC-10462 // GDQC-10231 // GDQC-10059 // GDQC-9854 // GDQC-9840 // GDQC-9469 // GDQC-9353 // GDQC-8824 // GDQC-8485 // GDQC-8366 // GDQC-7653
RXN-1064	
RXN-9804	
RXN-12183	GDQC-9083
RXN-10439	
RXN-10449	
RXN-10455	GDQC-12432 // GDQC-11951 // GDQC-11000 // GDQC-8978 // GDQC-8684
RXN-10459	GDQC-12432 // GDQC-11951 // GDQC-11000 // GDQC-8978 // GDQC-8684
RXN-10456	
RXN-10457	GDQC-12432 // GDQC-11951 // GDQC-11000 // GDQC-8978 // GDQC-8684
RXN-10450	GDQC-14308 // GDQC-10425 // GDQC-9845 // GDQC-8662
2.4.1.206-RXN	GDQC-13498
GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN	GDQC-14184 // GDQC-10406
RXN-1824	G-1588 // GDQC-13289 // GDQC-13218 // GDQC-7999
RXN1G-526	
2.7.9.4-RXN	GDQC-14495 // GDQC-12937 // GDQC-11494 // GDQC-11168
RXN-15909	
RXN-12384	GDQC-10421 // GDQC-10099 // GDQC-8429
RXN-9344	GDQC-14607 // GDQC-12744 // GDQC-10291 // GDQC-8112
RXN-1623	GDQC-14553 // GDQC-14007 // GDQC-13650 // GDQC-13503 // GDQC-12459 // GDQC-11212 // GDQC-8200
RXNQT-4365	GDQC-8112 // GDQC-10291 // GDQC-11788 // GDQC-12744 // GDQC-14607
2.3.1.75-RXN	GDQC-13513 // GDQC-12390 // GDQC-11853 // GDQC-11683 // GDQC-9570 // GDQC-8607 // GDQC-8076
RXN-16395	
RXN-1026	GDQC-13785 // GDQC-12973 // GDQC-12877 // GDQC-12590 // GDQC-12139 // GDQC-10693 // GDQC-10610 // GDQC-10080 // GDQC-10076 // GDQC-9121 // GDQC-8455 // GDQC-8418 // GDQC-8311
RXN-1381	GDQC-14285 // GDQC-14260 // GDQC-14182 // GDQC-13656 // GDQC-13142 // GDQC-13074 // GDQC-12329 // GDQC-11906 // GDQC-11362 // GDQC-11227 // GDQC-11048 // GDQC-10957 // GDQC-9953 // GDQC-9331 // GDQC-8574 // GDQC-8500 // GDQC-8374 // GDQC-8273 // GDQC-8105 // GDQC-7685
3.6.3.47-RXN	GDQC-14761 // GDQC-13897 // GDQC-12737 // GDQC-12113 // GDQC-11391 // GDQC-9048
RXN-13260	GDQC-13326 // GDQC-12886 // GDQC-9554
LONG-CHAIN-ALCOHOL-OXIDASE-RXN	GDQC-13315 // GDQC-12715 // GDQC-11101
ACYLACPSYNTH-RXN	GDQC-13956
RXN-7904	GDQC-14580 // GDQC-14505 // GDQC-14482 // GDQC-14199 // GDQC-14066 // GDQC-14063 // GDQC-13411 // GDQC-13258 // GDQC-12187 // GDQC-12122 // GDQC-10629 // GDQC-9981 // GDQC-9809 // GDQC-9721 // GDQC-9621 // GDQC-8705 // GDQC-8499 // GDQC-8180
RXN-1828	GDQC-12302 // GDQC-10878 // GDQC-10464 // GDQC-10430 // GDQC-8007
RXN-1825	GDQC-13594 // GDQC-10692
RXNQT-4375	GDQC-15153 // GDQC-15110 // GDQC-15051
RXN-11475	GDQC-13102 // GDQC-13025 // GDQC-10295
RXN-12201	GDQC-14495 // GDQC-12937
3.2.1.141-RXN	GDQC-13594 // GDQC-10692
3.6.4.6-RXN	GDQC-14639 // GDQC-14518 // GDQC-13998 // GDQC-13575 // GDQC-13426 // GDQC-12275 // GDQC-12118 // GDQC-11623 // GDQC-11046 // GDQC-10210 // GDQC-9760 // GDQC-9285 // GDQC-9140 // GDQC-8530 // GDQC-8302 // GDQC-8286 // GDQC-7899 // GDQC-7728 // GDQC-7720 // GDQC-7708
RXN0-5254	
RXN0-5388	GDQC-7866
RXN-13684	GDQC-14289 // GDQC-14247 // GDQC-10139 // GDQC-9819
RXN-10767	GDQC-14340 // GDQC-13030 // GDQC-10939
